device_id,run_id,circuit_id,family,num_qubits,config_id,seed,status,phase,category,exception_type,timeout_seconds,observed_total_seconds,message,last_relevant_qiskit_frame
quantinuum_h2_56,run_fba83ee5e487d3904931475f162885edc1819773cfb7a1682df603b74c6e0614,qft_indep_tket_40,qft,40,o3_default_default,0,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.00426703599987,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
quantinuum_h2_56,run_e695c9cd7df83e0e8977148e8ed56e65c38fa41b2fcd26b253299965139e0d0b,qft_indep_tket_40,qft,40,o3_default_default,1,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.00359135500003,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
quantinuum_h2_56,run_f067aa42ef1f3db1dc63e107bc9a05ed83a5471b972e1c75d62a5e2fc62f85ef,qft_indep_tket_40,qft,40,o3_default_default,2,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.00381934699999,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
quantinuum_h2_56,run_51ff8e0e6250e169a44045fafe4eb916da58e6c4b4335f4c27dc4dbd2c00d783,random_indep_qiskit_30,random,30,o3_default_default,0,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.00380356900041,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
quantinuum_h2_56,run_9030ed4c90e025b76b24f6538cdc56c320f61521b7743c2e1e773a39193e2a4b,random_indep_qiskit_30,random,30,o3_default_default,1,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.0055044390001,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
quantinuum_h2_56,run_f04f06a2ff277c37ff35daf54227692b3a72816a5cc1b713d957e3a5aaaeda87,random_indep_qiskit_30,random,30,o3_default_default,2,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.00605899699985,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
quantinuum_h2_56,run_21da9ed3b8c3a64f68770eb96564f395d2a0460cc4390a414d9de7d1890ecfd8,graphstate_indep_qiskit_14,graphstate,14,o3_dense_sabre,0,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.00210558700019,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
quantinuum_h2_56,run_fbdc4ef1afdf39b04af5a45ddb70b30c6ef164529313e022635ab0305eeccca3,graphstate_indep_qiskit_14,graphstate,14,o3_dense_sabre,1,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.00312673999997,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
quantinuum_h2_56,run_7b10eb2e90c4723586caf844245b792f0d5fdd804f4fc5f8b35993657bbaa0bf,graphstate_indep_qiskit_14,graphstate,14,o3_dense_sabre,2,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.00415518799946,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
quantinuum_h2_56,run_204f9862dbe6ddd89eecff8b66b64f3737f110d20f5d4fab3879df9eec845ba1,pricingcall_indep_qiskit_5,pricingcall,5,o3_dense_sabre,0,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.00215774400021,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
