device_id,run_id,circuit_id,family,num_qubits,config_id,seed,status,phase,category,exception_type,timeout_seconds,observed_total_seconds,message,last_relevant_qiskit_frame
ibm_heron_133,run_eca4a7efbcd1a8c71f18933e73c34fcac8fc4a94e1afbfa9f626dcc330c6cc08,pricingcall_indep_qiskit_5,pricingcall,5,o2_sabre_lookahead,0,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.006472175,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
ibm_heron_133,run_b487db8411caa42e98c4d03f2d57eaabfc4be9a59dc1455f2ae79c742ad7d1d2,pricingcall_indep_qiskit_5,pricingcall,5,o2_sabre_lookahead,1,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.00592150500006,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
ibm_heron_133,run_3180da5266b2059707aaf09591b7ef1c59af28ce2b40ef147c77386a5a5296f5,pricingcall_indep_qiskit_5,pricingcall,5,o2_sabre_lookahead,2,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.00461943499977,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
ibm_heron_133,run_3ecb99b6deeb3d9ec31d9cd24a8e598c608df2aeb0a27c4af64a3d8578504794,qft_indep_tket_40,qft,40,o2_sabre_lookahead,0,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.02419556099994,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
ibm_heron_133,run_1d6e928ea96721f7e2bd61bfdce1250fdca78b72202f57d2e2979c60469e296e,qft_indep_tket_40,qft,40,o2_sabre_lookahead,1,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.01618705800001,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
ibm_heron_133,run_16473ad9940032ba4b4fbd74060a05707a56ea76f4117f0cf7def768e2ead40d,qft_indep_tket_40,qft,40,o2_sabre_lookahead,2,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.01492983100025,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
ibm_heron_133,run_fbf7f7e50671905f6042f1cc5d9434e972d83ec899f564d275772016941f6eb2,qpeexact_indep_tket_60,qpeexact,60,o2_sabre_lookahead,0,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.0320878739999,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
ibm_heron_133,run_78c9b147ed7d3e42f596be615a477a7f565c2bd9b0d54a5d21b400502e02787c,qpeexact_indep_tket_60,qpeexact,60,o2_sabre_lookahead,1,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.04092947800018,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
ibm_heron_133,run_d889f5fb5fbffdc3cca335808b237c03d1554306cf78f20378b3a70e741b6fb8,qpeexact_indep_tket_60,qpeexact,60,o2_sabre_lookahead,2,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.09329075200003,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
ibm_heron_133,run_6bfc1939f12f0dcfe161527b4901068129a19342431b80233851dc5e290bc29c,random_indep_qiskit_30,random,30,o2_sabre_lookahead,0,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.20514666700001,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
ibm_heron_133,run_430d17256f42892962a29083704cb9fda5a464f82968c79f18359a3a2021574a,random_indep_qiskit_30,random,30,o2_sabre_lookahead,1,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.20693778700024,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
ibm_heron_133,run_a62b597f67b7ce9d36ffe97e4578aa9bb64780b751155c7c2f687724abc77469,random_indep_qiskit_30,random,30,o2_sabre_lookahead,2,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.40966673400021,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
ibm_heron_133,run_b028cef692ab42f8cd22e3e24d575324572e0d077ef28c741fd5a041d7b7c883,wstate_indep_tket_90,wstate,90,o3_default_default,0,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.00341416099991,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
ibm_heron_133,run_97f4ff47ab5738f0dbfddc38ee80655b68b4b492ed99c809e6c9ea59eb2d4e40,wstate_indep_tket_90,wstate,90,o3_default_default,1,timeout,transpilation,timeout,AttemptTimeoutError,100.0,100.00467936099994,Tentativo interrotto dopo 100.0 secondi.,"File ""/home/elio/Tesi/qiskit_dataset/generation.py"", line 133, in on_alarm"
